count,date
40,2015-01-18 00:00:00
93,2015-01-19 00:00:00
193,2015-01-20 00:00:00
191,2015-01-21 00:00:00
129,2015-01-22 00:00:00
131,2015-01-23 00:00:00
38,2015-01-24 00:00:00
50,2015-01-25 00:00:00
222,2015-01-26 00:00:00
188,2015-01-27 00:00:00
174,2015-01-28 00:00:00
96,2015-01-29 00:00:00
92,2015-01-30 00:00:00
46,2015-01-31 00:00:00
46,2015-02-01 00:00:00
91,2015-02-02 00:00:00
136,2015-02-03 00:00:00
235,2015-02-04 00:00:00
180,2015-02-05 00:00:00
81,2015-02-06 00:00:00
44,2015-02-07 00:00:00
56,2015-02-08 00:00:00
148,2015-02-09 00:00:00
116,2015-02-10 00:00:00
123,2015-02-11 00:00:00
92,2015-02-12 00:00:00
74,2015-02-13 00:00:00
16,2015-02-14 00:00:00
57,2015-02-15 00:00:00
54,2015-02-16 00:00:00
162,2015-02-17 00:00:00
110,2015-02-18 00:00:00
91,2015-02-19 00:00:00
74,2015-02-20 00:00:00
33,2015-02-21 00:00:00
34,2015-02-22 00:00:00
81,2015-02-23 00:00:00
116,2015-02-24 00:00:00
115,2015-02-25 00:00:00
102,2015-02-26 00:00:00
44,2015-02-27 00:00:00
49,2015-02-28 00:00:00
51,2015-03-01 00:00:00
83,2015-03-02 00:00:00
71,2015-03-03 00:00:00
61,2015-03-04 00:00:00
89,2015-03-05 00:00:00
119,2015-03-06 00:00:00
31,2015-03-07 00:00:00
25,2015-03-08 00:00:00
72,2015-03-09 00:00:00
109,2015-03-10 00:00:00
160,2015-03-11 00:00:00
130,2015-03-12 00:00:00
114,2015-03-13 00:00:00
35,2015-03-14 00:00:00
67,2015-03-15 00:00:00
85,2015-03-16 00:00:00
112,2015-03-17 00:00:00
182,2015-03-18 00:00:00
104,2015-03-19 00:00:00
73,2015-03-20 00:00:00
24,2015-03-21 00:00:00
26,2015-03-22 00:00:00
84,2015-03-23 00:00:00
66,2015-03-24 00:00:00
75,2015-03-25 00:00:00
67,2015-03-26 00:00:00
52,2015-03-27 00:00:00
25,2015-03-28 00:00:00
32,2015-03-29 00:00:00
259,2015-03-30 00:00:00
171,2015-03-31 00:00:00
131,2015-04-01 00:00:00
84,2015-04-02 00:00:00
71,2015-04-03 00:00:00
31,2015-04-04 00:00:00
27,2015-04-05 00:00:00
110,2015-04-06 00:00:00
145,2015-04-07 00:00:00
94,2015-04-08 00:00:00
85,2015-04-09 00:00:00
95,2015-04-10 00:00:00
27,2015-04-11 00:00:00
31,2015-04-12 00:00:00
71,2015-04-13 00:00:00
89,2015-04-14 00:00:00
100,2015-04-15 00:00:00
124,2015-04-16 00:00:00
68,2015-04-17 00:00:00
28,2015-04-18 00:00:00
26,2015-04-19 00:00:00
74,2015-04-20 00:00:00
84,2015-04-21 00:00:00
83,2015-04-22 00:00:00
219,2015-04-23 00:00:00
59,2015-04-24 00:00:00
21,2015-04-25 00:00:00
36,2015-04-26 00:00:00
79,2015-04-27 00:00:00
101,2015-04-28 00:00:00
108,2015-04-29 00:00:00
119,2015-04-30 00:00:00
70,2015-05-01 00:00:00
19,2015-05-02 00:00:00
29,2015-05-03 00:00:00
51,2015-05-04 00:00:00
75,2015-05-05 00:00:00
81,2015-05-06 00:00:00
120,2015-05-07 00:00:00
74,2015-05-08 00:00:00
48,2015-05-09 00:00:00
63,2015-05-10 00:00:00
122,2015-05-11 00:00:00
74,2015-05-12 00:00:00
63,2015-05-13 00:00:00
70,2015-05-14 00:00:00
115,2015-05-15 00:00:00
36,2015-05-16 00:00:00
36,2015-05-17 00:00:00
227,2015-05-18 00:00:00
180,2015-05-19 00:00:00
89,2015-05-20 00:00:00
99,2015-05-21 00:00:00
68,2015-05-22 00:00:00
44,2015-05-23 00:00:00
23,2015-05-24 00:00:00
54,2015-05-25 00:00:00
92,2015-05-26 00:00:00
79,2015-05-27 00:00:00
70,2015-05-28 00:00:00
386,2015-05-29 00:00:00
165,2015-05-30 00:00:00
70,2015-05-31 00:00:00
68,2015-06-01 00:00:00
94,2015-06-02 00:00:00
175,2015-06-03 00:00:00
191,2015-06-04 00:00:00
161,2015-06-05 00:00:00
32,2015-06-06 00:00:00
34,2015-06-07 00:00:00
61,2015-06-08 00:00:00
76,2015-06-09 00:00:00
70,2015-06-10 00:00:00
155,2015-06-11 00:00:00
78,2015-06-12 00:00:00
38,2015-06-13 00:00:00
37,2015-06-14 00:00:00
98,2015-06-15 00:00:00
122,2015-06-16 00:00:00
103,2015-06-17 00:00:00
132,2015-06-18 00:00:00
107,2015-06-19 00:00:00
25,2015-06-20 00:00:00
33,2015-06-21 00:00:00
49,2015-06-22 00:00:00
101,2015-06-23 00:00:00
